building,fmCode,contactName,phone,area,numberLayer,floor,roomNumber,detailAdress,province,city,postalCode,zone,latitude,longtude,priceSquare,workingTime,blance,developer,grade,created_at,updated_at
ลุมพินี วิลล์ สุขุมวิท 109-แบริ่ง,,,085 0581863,,4,8,742,16 หมุ่ที่ 7 ต.สำโรงเหนือ อ.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ ,-,-,-,วัฒนา,13.6545034,100.6039531,-,-,-,-,-,,
จรัลสนิทวงศ์ คอนโดมิเนียม,,คุณชัยวัฒน์,"0-2886-4376, 081-899-9272",,1,14,350,55/334-35 ซอยจรัญสนิทวงศ์ 53 แขวงบางบำหรุ เขตบางพลัด กรุงเทพมหานคร 10700,-,-,-,เมืองสมุทรปราการ,13.7782366,100.4843836,-,-,-,-,-,,
พีเอ็ม ริเวอร์ไซด์ ,,นิติฯ,0-2628-5900,,1,32,101,984 ถนนพระราม 3 แขวงบางโพงพาง เขตยานนาวา กรุงเทพฯ 10120 ,-,-,-,บางพลัด,13.674091,100.546863,-,-,-,-,-,,
Metrolux Riverfront    ,,คุณปอ,061-4164552,,7,8,606,199 หมู่ 2 ซอย 7 ถนนไทรม้า ตำบลไทรม้า อำเภอเมือง จังหวัดนนทบุรี  11000,-,-,-,ยานนาวา,13.878192,100.474567,-,-,-,-,-,,
เดอะซี๊ด มิงเกิ้ล,,นิติฯ,"0-2115-7780, 091-803-0881",,1,31,531,389 ซอยสาวนพลู 8 แขวงทุ่่งมหาเมฆ เขตสาทร กรุงเทพฯ 10120,-,-,-,เมืองนนทบุรี,13.7197826,100.5372077,-,-,-,-,-,,
กรีเน่ สรงประภา (เฟส 1),,นิติฯ,02-1194624,,3,8,568,415 ถนนสรงประภา แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร,-,-,-,สาทร,13.9274219,100.5822893,-,-,-,-,-,,
บมจ.พฤกษา เรียลเอสเตท โครงการ The Reserve สุขุมวิท 61,,,,,2,7,186,58-59 ซอย สุขุมวิท 61 แขวง คลองตันเหนือ เขต วัฒนา กรุงเทพมหานคร 10110,-,-,-,ดอนเมือง,13.7288479,100.5840821,-,-,-,-,-,,
ลุมพินี วิลล์ สุุขุมวิท 77,,,"02-332-3004-5 ,082-189-3533 / Fax  : 02-331-7526",,3,23,987,615 ถนนสุขุมวิท ต.สวนหลวง เขตสวนหลวง กรุงเทพฯ,-,-,-,วัฒนา,13.7119027,100.6067752,-,-,-,-,-,,
คีนน์ บาย แสนสิริ,,นิติฯ,"0-2661-2173-5 ,092-267-9466",,1,28,216,766 ถนนสุขุมวิท แขวงคลองตัน เขตคลองเตย กรุงเทพฯ 10110,-,-,-,สวนหลวง,13.7251377,100.5746146,-,-,-,-,-,,
อัสสกาญจน์เพลส โครงการลาดพร้าว,,นิติฯ,"0-2955-9989,  090-004-7897",,1,8,154,2 ซอยลาดพร้าว 85 แขวงคลองเจ้าสิงห์ เขตวังทองหลาง กทม. 10310,-,-,-,คลองเตย,13.7594825,100.6158926,-,-,-,-,-,,
รัชดาซิตี้ 18 (3),,คุณแนน,081-979-7434,,2,9,239,836 อาคารเพทาย ซอยอยู่เจริญ 29 แขวงสามเสนนอก เขตห้วยขวาง กทม. 10310,-,-,-,วังทองหลาง,13.7835418,100.5832351,-,-,-,-,-,,
พรีมีโอไพร์ม เกษตร-นวมินทร์,,นิติฯ,"02-907-1292,099-587-0788",,3,8,394,9 ถ.ประเสริฐมนูกิจ ซ.ประเสริฐมนูกิจ 29 แขวงจระเข้บัว เขตลาดพร้าว กทม.,-,-,-,ห้วยขวาง,13.832417,100.6118268,-,-,-,-,-,,
"เดอะวอเตอร์ฟอร์ด สุขุมวิท 50/1 อาคาร1,2,3",,นิติฯ,"0-2138-5043, 088-000-3195",,3,8,340,890/14 ถนนสุขุมวิท 50 แขวงพระโขนง เขตคลองเตย กรุงเทพฯ 10260,-,-,-,ลาดพร้าว,13.7071166,100.5914381,-,-,-,-,-,,
ไนท์บริดจ์ คอนโดมิเนียม,,นิติฯ,"0-2072-2224, 061-759-8444",,1,28,303,989 หมู่ 7 ถนนสุขุมวิท 107 ต.สำโรงเหนือ อ.เมือง จ.สมุทรปราการ 10270,-,-,-,คลองเตย,13.6839384,100.5851756,-,-,-,-,-,,
The Roof Garden,,นิติฯ,"0-2332-2375, 093-556-8309",,1,17,99,697/1 สุขุมวิท 50 แขวงพระโขนง เขตคลองเตย กรุงเทพฯ 10110,-,-,-,เมืองสมุทรปราการ,13.7318711,100.5263844,-,-,-,-,-,,
เอื้ออมรสุขคอนโด,,,,,1,12,345,1 ถนนพระราม 3 ซอย 75 แขวงช่องนนทรี เขตยานนาวา กรุงเทพฯ 10120,-,-,-,คลองเตย,13.742774,100.5494796,-,-,-,-,-,,
บริษัท เอส.พี.แมนชั่น จำกัด,,คุณนิว,086-521-7762,,1,25,102,362/2 ซอยศูนย์วิจัย 4 ถนนพระรามที่ 9 แขวงบางกะปิ เขตห้วยขวาง กรุงเทพฯ  10310,-,-,-,ยานนาวา,13.7578379,100.5909243,-,-,-,-,-,,
สุขุมวิท ซิตี้รีสอร์ท,,นิติฯ," 0-2252-7034-5,  086-300-9858",,1,26,151,48 ซ.สุขุมวิท 11 ถ.สุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพฯ 10110,-,-,-,ห้วยขวาง,13.7469059,100.5542793,-,-,-,-,-,,
เดอะซี๊ด พหลโยธิน,,คุณสุเมธ (รักษาการ) ลองสอบถามอีกที,0-2279-4130  0621972857,,1,8,117,1/1 ซอยพหลโยธิน 14 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กทม. 10400,-,-,-,วัฒนา,13.7868761,100.5457575,-,-,-,-,-,,
คิว หลังสวน,,นิติฯ,"0-2250-1001-3, 081-934-3208",,1,38,177,54 ซอยหลังสวน แขวงลุมพินี เขตปทุมวัน กรุงเทพฯ  10330,-,-,-,พญไท,13.7392229,100.5404488,-,-,-,-,-,,
ลา คาสเดด คอนโดมิเนียม   ,,นิติฯ,0-2392-3153   ,,1,29,56,1 ซ.เจริญมิตร (เอกมัย 10) ถนนสุขุมวิท 63 เขตวัฒนา กรุงเทพ 10110     ,-,-,-,ปทุมวัน,13.7288956,100.5872329,-,-,-,-,-,,
The Hotel   ,,,,,1,26,648,286 อาคารเดอะไฮเทคคอนโดมิเนียม ถ.รัตนาธิเบศร์ ต.บางกระสอ อ.เมือง จ.นนทบุรี,-,-,-,วัฒนา,13.861877,100.5031058,-,-,-,-,-,,
คลาส สารสิน-ราชดำริ,,,02-2531755,,1,8,68,410 ซอย สารสิน แขวง ลุมพินี เขต ปทุมวัน กรุงเทพมหานคร 10330 ,-,-,-,เมืองนนทบุรี,13.734823,100.540983,-,-,-,-,-,,
Sign Condo สุขุมวิท 50,,,02-0726868,,1,8,105,211-217 ซอยแสงอุทัย แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110,-,-,-,ปทุมวัน,13.703102,100.597093,-,-,-,-,-,,
เดอะ ไรซ์ สุขุมวิท 39,,นิติฯ,0-2259-2236-7  086-321-9015,,,7,77,15 ซอยพร้อมมิตร ถนนสุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพฯ 10110,-,-,-,คลองเตย,13.735638,100.573343,-,-,-,-,-,,
คลาส คอนโด สยาม,,ผจก.ต้น,090-9878644,,1,8,79,62 พระรามที่ 1 แขวง วังใหม่ เขต ปทุมวัน กรุงเทพมหานคร 10330,-,-,-,วัฒนา,13.748153,100.528693,-,-,-,-,-,,
ฟิวส์ เซนเซ่ บางแค,,คุณโบว์,"065-519-3346,0661145193คุณนัท",,,,815,142  ถนนพุทธมณฑลสาย 2  แขวงบางแคเหนือ  เขตบางแค  กรุงเทพฯ 10160 ,-,-,-,ปทุมวัน,13.71113,100.39693,-,-,-,-,-,,
เดอะไลท์,,คุุณนก,"083-024-3030 , 02-938-6031",,1,21,154,198 ถนนลาดพร้าว แขวงจอมพล เขตจตุจักร กรุงเทพ 10900,-,-,-,บางแค,13.810311,100.565235,-,-,-,-,-,,
บจก.เย็นสบายดี เรสซิเด้นท์   (ลาดพร้าว 122),,คุณกฤต,080-5971220,,,,79,147 ถนนบางบอน 5 (สายเดิม) แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร,-,-,-,จตุจักร,13.767464,100.627499,-,-,-,-,-,,
ไฮด์ สุขุมวิท,,นิติฯ,"0-2255-4446 ต่อ 9001,063-2246477",,,40,434,1/1 ซ.สุขุมวิท 13 (แสงจันทร์) ถ.สุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพฯ  10310,-,-,-,หนองแขม,13.740759,100.557484,-,-,-,-,-,,
เดอะทรี โชคชัย 4,,คุณแนน,089-509-9850,,2,8,340,186 ถนนลาดพร้าววังหิน แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,-,-,-,วัฒนา,13.80448,100.590603,-,-,-,-,-,,
แอล สไตล์ คอนโด,,คุุณน้อง,"063-639-1688 , 02-275-5150",,1,8,171,88 ซอย ส.ธรณินทร์ แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพฯ  10310,-,-,-,ลาดพร้าว,13.775323,100.581813,-,-,-,-,-,,
เดอะไรซ์ (ยกเลิก-ไปใช้ลำดับ 626),,นิติฯ,0-2259-2236-7  086-321-9015,,,,,15 ซอยพร้อมมิตร ถนนสุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพฯ 10110,-,-,-,ห้วยขวาง,13.741268,100.572883,-,-,-,-,-,,
เดอะเพลนเนอรี่,,,,,1,8,171,555/7 ถนนกรุงธนบุรี แขวงคลองต้นไทร เขตคลองสาน กรุงเทพฯ 10600,-,-,-,วัฒนา,13.722576,100.498773,-,-,-,-,-,,
แอสปาย รัชดา-วงศ์สว่าง,,ผจก.คุณกำไล   คุณเกล,098-4277098,,1,27,1234,1411 ถนนกรุงเทพ-นนทบุรี แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร ,-,-,-,คลองสาน,13.830425,100.525102,-,-,-,-,-,,
The 8 Collection,,นิติิ คุณสราวุธ,096-462-8650,,1,7,77,195 ถนนวิสุทธิกษัตริย์ แขวงบางขุนพรหม เขตพระนคร กรุงเทพมหานคร 12000,-,-,-,บางซื่อ,13.761562,100.505176,-,-,-,-,-,,
บจก.ณวรางค์ พหลโยธิน โครงการ ณ วีรา พหล-อารีย์,,คุณนิด,065-4965914,,1,8,78,31 อาคารเดอะปาร์ติโก้ ชั้น 3 ห้องเลขที่ 301 ซอยหลังสวน แขวงลุมพินี เขตปทุมวัน กรุงเทพฯ,-,-,-,พระนคร,13.786162,100.549096,-,-,-,-,-,,
แชปเตอร์วัน เดอะ แคมปัส,,นิติฯ,0-2006-3800 098-838-7283,,7,,753,2033 อาคาร (B) แขวงลาดยาว เขตจตุจักร กรุงเทพฯ 10900,-,-,-,ปทุมวัน,13.838555,100.574509,-,-,-,-,-,,
รีเจ้นท์โฮม 13,,, 085-234-2566 0-2117-0028,,1,8,270,424 ซอยสุขุมวิท 93 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,-,-,-,จตุจักร,13.70147,100.611986,-,-,-,-,-,,
พลัมคอนโด รามคำแหง 60 สเตชั่น,,นิติฯ,0-2005-8956 064-184-2494,,8,8,962,8 ถนนรามคำแหง ซอยรามคำแหง 60 (สวนสน) แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ 10240,-,-,-,พระโขนง,13.743265,100.602622,-,-,-,-,-,,
เดอะพีช แอท ลาดพร้าว 15,,คุณข้าวต้ม,089-990-2428,,1,7,27,88 ซอยลาดพร้าว 15 แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,-,-,-,บางกะปิ,13.814869,100.572353,-,-,-,-,-,,
บจก.เจ้าพระยามหานคร โครงการ แบงค์คอก ฮอไรซอน ติวานนท์,,,,,1,34,426,909/1 ชั้น 6 ห้อง 601-602 ถ.สมเด็จพระเจ้าตากสิน แขวงดาวคะนอง เขตธนบุรี กรุงเทพฯ,-,-,-,จตุจักร,13.838795,100.515326,-,-,-,-,-,,
คันทรี คอมเพล็กซ์ อาคาร ซี,,นิติฯ,0-2361-2160,,1,23,368,227 ถนนรรพาวุธ แขวงบางนา เขตบางนา กรุงเทพฯ 10260,-,-,-,ธนบุรี,13.672868,100.599107,-,-,-,-,-,,
บ้านเย็นอากาศ,,,,,1,20,69,67 ถนนเย็นอากาศ แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร,-,-,-,บางนา,13.711373,100.543515,-,-,-,-,-,,
ฮอลล์มาร์ค งามวงศ์วาน,,คุณพลอย,095-251-4566,,4,8,792,15 ชั้น 2 อาคารเอ ซ.งามวงศ์วาน 6 อ.เมือง จ.นนทบุรี 11000,-,-,-,ยานนาวา,13.84475,100.527605,-,-,-,-,-,,
ลุมพินี เพลส พระราม 3-ริเวอร์วิว,,,02-2919915,,1,19,497,297 ถนนพระราม 3 แขวงบางโคล่ เขตบางคอแหลม กรุงเทพฯ ,-,-,-,เมืองนนทบุรี,13.690359,100.505002,-,-,-,-,-,,
ลุมพินี สวีท พระราม 8,,คุณหนู,02-497-5000,,1,12,182,1 ซอยอรุณอัมรินทร์ 53 ถนนอรุณอัมรินทร์ แขวงบางยี่ขัน เขตบางพลัด กรุงเทพฯ ,-,-,-,บางคอแหลม,13.772915,100.491809,-,-,-,-,-,,
ลุมพินี เพลส พระราม 8,,คุุณนริสา,02-497-5200,,2,13,"1,301",3 ซอยอรุณอัมรินทร์ 53 ถนนอรุณอัมรินทร์ แขวงบางยี่ขัน เขตบางพลัด กรุงเทพฯ ,-,-,-,บางพลัด,13.773337,100.492764,-,-,-,-,-,,
"ฮาร์โมนี ลิฟวิ่ง พหลโยธิน 11 อาคาร 1,2",,คุณพิเชษฐ์,"02-270-3625 , 090-405-9841",,2,8,146,"20,22 ซอยพหลโยธิน 11 แขวงพญาไท เขตพญาไท กรุงเทพฯ 10400",-,-,-,บางพลัด,13.787372,100.546136,-,-,-,-,-,,
"บ้านพระยาภิรมย์-รัชดา (อาคารเอ,บี)",,คุณพิพัฒน์พงษ์,02-9391843,,2,8,520,312 ซอยเสือใหญ่อุทิศ แขวงจันทรเกษม เขตจตุจักร กรุงเทพฯ 10900,-,-,-,พญาไท,13.82064,100.588467,-,-,-,-,-,,
ไอดีโอ พหลโยธิน-จตุจักร,,คุณซีตรอง,02-032-2003,,1,35,390,1655 ถนนพหลโยธิน แขวงพญาไท เขตพญาไท กรุงเทพฯ ,-,-,-,จตุจักร,13.795748,100.550151,-,-,-,-,-,,
ดิ แอดเดรส สาทร,,นิติฯ (คุณเพียว),02-6351500-1 ต่อ 2001-5,,1,40,562,98 ซอยศึกษาวิทยา แขวงสีลม เขตบางรัก กรุงเทพฯ 10500,-,-,-,พญาไท,13.722759,100.525674,-,-,-,-,-,,
เลค อเวนิว คอนโดมิเนียม,,นิติฯ,02-2605190-2    ผจก 0955733103,,1,26,160,1/1 ซอยสามมิตร ถนนรัชดาภิเษกตัดใหม่ แขวงคลองเตย เขตคลองเตย กรุงเทพฯ 10110,-,-,-,บางรัก,13.733651,100.561298,-,-,-,-,-,,
มาสเตอร์วิว เอ็กเซ็กคิวทีฟ เพลส,,นิติฯ,"02-8625235-45 ,0804341595, 0814872555",,1,40,437,1006/434 ถนนเจริญนคร แขวงลำภูล่าง เขตคลองสาน กรุงเทพฯ 10600,-,-,-,คลองเตย,13.71273,100.499421,-,-,-,-,-,,
รอยัลริเวอร์ เพลส,,,02-2951191,,1,41,145,950 ถนนพระราม 3 ซ.38 แขวงบางโพงพาง เขตยานนาวา กรุงเทพฯ 10120,-,-,-,คลองสาน,13.673592,100.545519,-,-,-,-,-,,
เอ็มไพร์ เฮ้าส์,,นิติฯ,"02-7131400, 02-7131401-2",,1,28,58,27 ซอยเจริญโจ (เอกมัย 12) ถนนสุขุมวิท 63 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพฯ 10110,-,-,-,ยานนาวา,13.729602,100.591114,-,-,-,-,-,,
ลาซาลพาร์ค คอนโดมิเนียม อาคารซี,,นิติฯ,"02-7493719, 083-4475320",,1,8,154,10 ซอยลาซาล 10 ถนนสุขุมวิท 105 แขวงบางนา เขตบางนา กรุงเทพฯ 10260,-,-,-,วัฒนา,13.66096,100.607096,-,-,-,-,-,,
นอตติ้ง ฮิลล์ สุขุมวิท-แพรกษา,,เปิ้ล,"02-0044278 , 081-1496575",,1,35,980,188 หมู่ 1 ถนนแพรกษา ตำบลท้ายบ้านใหม่ อำเภอเมือง จังหวัดสมุทรปราการ 10280,-,-,-,บางนา,13.585485,100.613863,-,-,-,-,-,,
ซันพาเลซ คอนโดมิเนียม,,นิติฯ,02-7180400-4,,1,9,64,36 ถนนเพชรบุรีตัดใหม่ ซอยศูนย์วิจัย 2 แขวงบางกะปิ เขตห้วยขวาง กรุงเทพฯ 10320,-,-,-,เมืองสมุทรปราการ,13.751634,100.588045,-,-,-,-,-,,
สายลม สวีท  คอนโดมิเนียม,,นิติฯ,02-9418181,,1,28,224,252/160 ถนนพหลโยธิน 32 แขวงจันทรเกษม เขตจตุจักร กรุงเทพฯ ,-,-,-,ห้วยขวาง,13.832886,100.57846,-,-,-,-,-,,
แอมเบอร์ ,,นิติฯ,"02-0638606, 095-2522473",,1,37,563,254 ถนนกรุงเทพ-นนท์ ตำบลบางเขน อำเภอเมือง จังหวัดนนทบุรี  11000,-,-,-,จตุจักร,13.839332,100.515471,-,-,-,-,-,,
โดมัส 16 และ 18,,,086-3087680,,2,12,108,"19, 24 ซอยสุขุมวิท 16, 18 แขวงคลองเตย เขตคลองเตย กรุงเทพฯ 10110",-,-,-,เมืองนนทบุรี,13.733379,100.561355,-,-,-,-,-,,
บจก.ออลล์ อินสไปร์ ดีเวลลอปเม้นท์ โครงการ The Excel Hideway Ratchada-Huai Khwang,,,,,3,8,592,4345 อาคารภิรัชทาวเวอร์ แอท ไบเทค ชั้น 18 ถนนสุขุมวิท แขวงบางนาใต้ เขตบางนา กรุงเทพฯ 10260,-,-,-,คลองเตย,13.774066,100.576853,-,-,-,-,-,,
บจก.เอบี พลัส พร็อพเพอร์ตี้ โครงการ The Crystal Bliss @ Rattanathibet,,,,,1,19,539,746 ถนนเรวดี ตำบล ตลาดขวัญ อำเภอเมืองนนทบุรี นนทบุรี 11000,-,-,-,บางนา,13.85559,100.51743,-,-,-,-,-,,
บจก.ออลล์ อินสไปร์ ดีเวลลอปเม้นท์ โครงการ The Excel Hideway Sukhumvit 71,,,,,3,8,672,4345 อาคารภิรัชทาวเวอร์ แอท ไบเทค ชั้น 18 ถนนสุขุมวิท แขวงบางนาใต้ เขตบางนา กรุงเทพฯ 10260,-,-,-,บางเขน,13.716972,100.600743,-,-,-,-,-,,
บจก.เอเบิ้ล แลนด์ ดีเวลลอปเม้นท์ โครงการ Attitude BU / แอททิจูด บียู คอนโดมิเนียม,,คุณฟิน,098-558-2588,,3,8,544,137/41 ซ.วิภาวดีรังสิต 41 แขวงสนามบิน เขตดอนเมือง กรุงเทพฯ 10210,-,-,-,บางนา,14.039021,100.616647,-,-,-,-,-,,
Savvi Ari 4,,,,,1,8,39,136/21 ซ.วิภาวดีรังสิต 41 แขวงสนามบิน เขตดอนเมือง กรุงเทพฯ 10210,-,-,-,ดอนเมือง,13.785271,100.543449,-,-,-,-,-,,
เดอะรูม พระราม 4,,jintana_t@century21.co.th,02-2162374,,1,35,286,777 ถนนพระราม 4 แขวงรองเมือง เขตปทุมวัน กรุงเทพฯ ,-,-,-,ดอนเมือง,13.736373,100.520823,-,-,-,-,-,,
ดี แอล วี ทองหล่อ 20,,,"02-3905641, 086-3951070",,1,8,79,18 ซ.แจ่มจันทร์ แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพฯ 10110,-,-,-,ปทุมวัน,13.738571,100.587172,-,-,-,-,-,,
ดีคอนโด สุขุมวิท 109,,,"02-7444040, 098-2649912",,2,8,375,1959 หมู่ 9 ถ.สุขุมวิท ต.สำโรงเหนือ อ.เมือง จ.สมุทรปราการ ,-,-,-,วัฒนา,13.654251,100.605264,-,-,-,-,-,,
จี เฮาส์ คอนโดมิเนียม,,,,,1,8,70,525/409 หมู่ 7 ต.สำโรงเหนือ อ.เมือง จ.สมุทรปราการ,-,-,-,เมืองสมุทรปราการ,13.652456,100.602021,-,-,-,-,-,,
บางใหญ่สแควร์ C1,,คุณตั้ม, 08-80414075,,1,7,210,139 ม.12 ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110,-,-,-,เมืองสมุทรปราการ,13.883414,100.410091,-,-,-,-,-,,
บ้านประชานิเวศน์ 1,,,086-3058655,,1,9,200,3/20 ถ.เทศบาลนิมิตรเหนือ แขวงลาดยาว เขตจตุจักร กรุงเทพฯ ,-,-,-,บางบัวทอง,13.840985,100.548581,-,-,-,-,-,,
เดอะรูม สุขุมวิท 62,,,095-9484719,,2,23,487,2288 ถ.สุขุมวิท แขวงบางจาก เขตพระโขนง กรุงเทพฯ 10260,-,-,-,จตุจักร,13.690312,100.608212,-,-,-,-,-,,
ดีบุรา พรานนก,,คุณเอ๋,"02-8663530 , 098-830-0064",,2,13,416,359 ถนนอิสราภาพ แขวงบ้านช่างหล่อ เขตบางกอกน้อย กรุงเทพฯ 10700,-,-,-,พระโขนง,13.756933,100.477731,-,-,-,-,-,,
เดอะ แคปปิตอล ราชปรารภ-วิภาวดี,,คุุณเมย์,"02-248-2451 , 063-272-4552 , 086-889-8386",,1,32,540,99 ถนนดินแดง แขวงสามเสนใน เขตพญาไท กรุงเทพฯ 10400,-,-,-,บางกอกน้อย,13.763878,100.546048,-,-,-,-,-,,
โนเบิล รีมิกซ์,,,"02-1606000-3,  094-569-9054",,2,33,504,772 ชั้น 5 ซ.สุขุมวิท 36 ถ.สุขุมวิท แขวงคลองตัน เขตคลองเตย กรุงเทพฯ 10110,-,-,-,พญาไท,13.7246,100.577292,-,-,-,-,-,,
คิว คอนโด อโศก,,,02-2559337  098-1913867 ,,1,41,482,1678 ถ.เพชรบุรีตัดใหม่ แขวงมักกะสัน เขตราชเทวี กรุงเทพฯ 10400,-,-,-,คลองเตย,13.748773,100.562918,-,-,-,-,-,,
ไอดีโอ สาทรตากสิน,,,,,,,325,,-,-,-,ราชเทวี,13.72019,100.502035,-,-,-,-,-,,
เพรสิเดนท์ พาร์ค ฮาร์เบอร์วิว มะฮอกกานี ทาวเวอร์,,,,,,24,74,97 ซ.สุขุมวิท 24 แขวงคลองตัน เขตคลองเตย กรุงเทพฯ 10110,-,-,-,,13.722344,100.566583,-,-,-,-,-,,
G.M. Residence Ekamai Soi 18 (บจก.ยี.เอ็ม เรสซิเด้นท์),,K.จอม (GM),083-356-7780,,,,,39 ชั้น 2 ถ.สุขุมวิท แขวงคลองเตย เขตคลองเตย กรุงเทพฯ 10110,-,-,-,คลองเตย,13.733987,100.587835,-,-,-,-,-,,
ป.ปิ่นเกล้า คอนโดมิเนียม โครงการ 1,,คุณหนึ่ง,02-882-0909,,1,10,252,3 ชัยพฤกษ์ซอย 9 แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพฯ 10170,-,-,-,คลองเตย,13.767898,100.452655,-,-,-,-,-,,
ไลฟ์ แอด รัชดา-ห้วยขวาง,,คุณขนุน,"02-277-7515#501,504",,1,22,481,189 ถ.ประชาราษฎร์บำเพ็ญ แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพฯ 10310,-,-,-,ตลิ่งชัน,13.803391,100.577575,-,-,-,-,-,,
นิช ไอดี สุขุมวิท 113,,,062-4424575,,2,8,366,914 หมู่ 9 ต.สำโรงเหนือ อ.เมือง จ.สมุทรปราการ 10270,-,-,-,ห้วยขวาง,13.647515,100.60084,-,-,-,-,-,,
ดิ เอ็กเซล กรูฟ อาคารบี และ อาคารซี,,คุณอ้อม ผจก.,062-5581447,,2,8,264,794 ถ.ลาซาล แขวงบางนาใต้ เขตบางนา กรุงเทพฯ 10260,-,-,-,เมืองสมุทปราการ,13.656979,100.634742,-,-,-,-,-,,
ลุมพินี เซ็นเตอร์ เอ,,คุณ ผักบุ้ง,"063-4469543,02-3747270",,4,8,235,556/1 ถ.แฮปปี้แลนด์สาย 1 แขวงคลองจั่น เขตบางกะปิ กรุงเทพฯ ,-,-,-,บางนา,13.774675,100.642017,-,-,-,-,-,,
ธนา แอสโทเรีย,,คุณเจน,"02-0394649,0616659414 ",,1,23,497,388 ถ.จรัญสนิทวงศ์ แขวงบางยี่ขัน เขตบางพลัด กรุงเทพฯ 10700,-,-,-,บางกะปิ,13.779043,100.487008,-,-,-,-,-,,
บ้านสิริทเวนตี้โฟร์,,,02-2580044-5,,1,34,185,39 ซ.สุขุมวิท 24 แขวงคลองตัน เขตคลองเตย กรุงเทพฯ 10110 ,-,-,-,บางพลัด,13.72611,100.568007,-,-,-,-,-,,
รีเจน ออน เดอะปาร์ค 1,,,"02-2609210, 098-1919210",,2,34,81,32 ซ.อารีย์ ถ.สุขุมวิท 26 แขวงคลองเตย เขตคลองเตย กรุงเทพฯ 10110,-,-,-,คลองเตย,13.725996,100.569151,-,-,-,-,-,,
ไลฟ์ รัชดาภิเษก,,คุณฐานิษฐ์,089-569-9440,,2,"36,35",838,279 ถนนรัชดาภิเษก แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร,-,-,-,คลองเตย,13.782981,100.574585,-,-,-,-,-,,
รัชดา พาวิเลี่ยน,,คุณกร,"02-513-9036 , 062-247-4499",,1,27,195,111 ซ.ลาดพร้าว 23 ถ.ลาดพร้าว เขตจตุจักร กรุงเทพน 10900,-,-,-,ห้วยขวาง,13.811244,100.578519,-,-,-,-,-,,
ลุมพินี วิลล์ ลาดพร้าว-โชคชัย 4,,คุณกุ้ง,089-7927604,,2,18,"1,020",48 ซ.ลาดพร้าว 51 แขวงสะพานสอง เขตวังทองหลาง กรุงเทพฯ ,-,-,-,จตุจักร,13.795864,100.592697,-,-,-,-,-,,
ทิพยฤกษ์,,คุณวันธนา,"02-4341561-2 # 200,300 , 061-993-6693",,1,12,130,978 ถ.บรมราชชนนี ซ.บรมราชชนนี 12 แขวงบางบำหรุ เขตบางพลัด กรุงเทพฯ 10700,-,-,-,วังทองหลาง,13.786821,100.471825,-,-,-,-,-,,
บ้านรัชดา,,คุณนิรุณ,"02-9338897, 095-163-3321 , 063-1956671",,1,7,171,125 ซ.ลาดพร้าว 64 แยก 6 ถ.ลาดพร้าว แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพฯ 10310,-,-,-,บางพลัด,13.787898,100.590359,-,-,-,-,-,,
เดอะเครสท์ ร่วมฤดี,,คุณแอน,086-993-6892,,1,8,37,95 ซ.ร่วมฤดี ถ.เพลินจิน แขวงลุมพินี เขตปทุมวัน กรุงเทพฯ 10330,-,-,-,วังทองหลาง,13.736928,100.550839,-,-,-,-,-,,
บริกซ์ คอนโดมิเนียม,,,095-249-9292,,1,32,568,696 ถ.จรัญสนิทวงส์ แขวงบางยี่ขัน เขตบางพลัด กรุงเทพฯ 10700,-,-,-,ปทุมวัน,13.783883,100.493909,-,-,-,-,-,,
เอ สเปซ เกษตร-นวมินทร์,,นิติฯ,"02-5782387, 089-4971805",,1,8,207,112 ม.12 ซ.มัยลาภ ถ.เกษตรนวมินทร์ แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพฯ 10230,-,-,-,บางพลัด,13.832851,100.616512,-,-,-,-,-,,
